Comment,Designator,Footprint,LCSC
1 uF,C1,C_0805_2012Metric,C2798196
Conn_01x06,J1,PinSocket_1x06_P2.54mm_Vertical,C2897443
SW_DIP_x02,SW1,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W8.61mm_P2.54mm_LowProfile,C314502
47Ω,"R1,R2,R3",R_0603_1608Metric,C319576
Conn_01x05,J2,"TerminalBlock_Phoenix_PT-1,5-5-3.5-H_1x05_P3.50mm_Horizontal",C3646874
D,D1,DO-214BA_MCH,C3757764
Conn_01x06,J3,PinHeader_1x06_P2.54mm_Vertical,C6332199
SMBJ5.0CA,"D2,D3,D4",D_SMA,C83324
10 uF,"C5,C7,C9",CAP_4 X 5.8_PAN,C84356
MAX3232E,U1,21-0056-E_90-0106-16L_MXM,C86262
0.1 uF,"C6,C8",C_0805_2012Metric,C913936
TLV70433DBVR,U2,DBV0005A_N,C94917
4.7 uF,"C2,C3,C4",C_0805_2012Metric,C98192
